Tanggal,mean_wib,mean_wita,mean_wit
2020-05-06,13006.0,14142.0,15800.0
2020-05-07,13006.0,14142.0,15800.0
2020-05-08,12994.0,14154.0,15825.0
2020-05-09,12994.0,14154.0,15825.0
2020-05-10,12994.0,14154.0,15825.0
2020-05-11,12975.0,14133.0,15825.0
2020-05-12,12975.0,14129.0,15862.0
2020-05-13,12978.0,14112.0,15862.0
2020-05-14,12967.0,14096.0,15862.0
2020-05-15,12958.0,14104.0,15875.0
2020-05-16,12958.0,14104.0,15875.0
2020-05-17,12958.0,14104.0,15875.0
2020-05-18,12931.0,14096.0,15875.0
2020-05-19,12922.0,14100.0,15875.0
2020-05-20,12919.0,14100.0,15875.0
2020-05-21,12919.0,14100.0,15875.0
2020-05-22,12919.0,14100.0,15875.0
2020-05-23,12919.0,14100.0,15875.0
2020-05-24,12919.0,14100.0,15875.0
2020-05-25,12919.0,14100.0,15875.0
2020-05-26,12919.0,14100.0,15875.0
2020-05-27,12919.0,14100.0,15875.0
2020-05-28,12900.0,14083.0,15838.0
2020-05-29,12897.0,14075.0,15838.0
2020-05-30,12897.0,14075.0,15838.0
2020-05-31,12897.0,14075.0,15838.0
2020-06-01,12897.0,14075.0,15838.0
2020-06-02,12875.0,14083.0,15838.0
2020-06-03,12875.0,14079.0,15838.0
2020-06-04,12878.0,14088.0,15838.0
2020-06-05,12869.0,14088.0,15838.0
2020-06-06,12869.0,14088.0,15838.0
2020-06-07,12869.0,14088.0,15838.0
2020-06-08,12856.0,14083.0,15825.0
2020-06-09,12856.0,14083.0,15825.0
2020-06-10,12856.0,14079.0,15825.0
2020-06-11,12853.0,14083.0,15825.0
2020-06-12,12842.0,14079.0,15825.0
2020-06-13,12842.0,14079.0,15825.0
2020-06-14,12842.0,14079.0,15825.0
2020-06-15,12836.0,14079.0,15825.0
2020-06-16,12833.0,14071.0,15850.0
2020-06-17,12831.0,14067.0,15788.0
2020-06-18,12831.0,14092.0,15588.0
2020-06-19,12825.0,14112.0,15588.0
2020-06-20,12825.0,14112.0,15588.0
2020-06-21,12825.0,14112.0,15588.0
2020-06-22,12797.0,14100.0,15450.0
2020-06-23,12792.0,14100.0,15562.0
2020-06-24,12792.0,14100.0,15538.0
2020-06-25,12803.0,14100.0,15538.0
2020-06-26,12803.0,14075.0,15538.0
2020-06-27,12803.0,14075.0,15538.0
2020-06-28,12803.0,14075.0,15538.0
2020-06-29,12803.0,14125.0,15538.0
2020-06-30,12808.0,14121.0,15538.0
2020-07-01,12808.0,14121.0,15538.0
2020-07-02,12808.0,14121.0,15512.0
2020-07-03,12792.0,14117.0,15512.0
2020-07-04,12792.0,14117.0,15512.0
2020-07-05,12792.0,14117.0,15512.0
2020-07-06,12797.0,14117.0,15600.0
2020-07-07,12797.0,14108.0,15488.0
2020-07-08,12794.0,14092.0,15488.0
2020-07-09,12797.0,14092.0,15475.0
2020-07-10,12783.0,14092.0,15238.0
2020-07-11,12783.0,14092.0,15238.0
2020-07-12,12783.0,14092.0,15238.0
2020-07-13,12792.0,14092.0,15250.0
2020-07-14,12781.0,14088.0,15238.0
2020-07-15,12778.0,14108.0,15238.0
2020-07-16,12781.0,14079.0,15238.0
2020-07-17,12786.0,14088.0,15238.0
2020-07-18,12786.0,14088.0,15238.0
2020-07-19,12786.0,14088.0,15238.0
2020-07-20,12836.0,14138.0,15238.0
2020-07-21,12850.0,14162.0,15250.0
2020-07-22,12864.0,14138.0,15250.0
2020-07-23,12889.0,14138.0,15250.0
2020-07-24,12903.0,14154.0,15150.0
2020-07-25,12903.0,14154.0,15150.0
2020-07-26,12903.0,14154.0,15150.0
2020-07-27,12942.0,14179.0,15100.0
2020-07-28,13019.0,14204.0,15188.0
2020-07-29,13003.0,14183.0,15188.0
2020-07-30,13006.0,14188.0,15188.0
2020-07-31,13006.0,14188.0,15188.0
2020-08-01,13006.0,14188.0,15188.0
2020-08-02,13006.0,14188.0,15188.0
2020-08-03,13022.0,14183.0,15250.0
2020-08-04,13031.0,14179.0,15250.0
2020-08-05,13036.0,14204.0,15238.0
2020-08-06,13050.0,14192.0,15238.0
2020-08-07,13056.0,14188.0,15238.0
2020-08-08,13056.0,14188.0,15238.0
2020-08-09,13056.0,14188.0,15238.0
2020-08-10,13086.0,14217.0,15250.0
2020-08-11,13081.0,14229.0,15250.0
2020-08-12,13108.0,14212.0,15250.0
2020-08-13,13117.0,14204.0,15250.0
2020-08-14,13122.0,14204.0,15250.0
2020-08-15,13122.0,14204.0,15250.0
2020-08-16,13122.0,14204.0,15250.0
2020-08-17,13122.0,14204.0,15250.0
2020-08-18,13128.0,14208.0,15250.0
2020-08-19,13136.0,14221.0,15250.0
2020-08-20,13136.0,14221.0,15250.0
2020-08-21,13136.0,14221.0,15250.0
2020-08-22,13136.0,14221.0,15250.0
2020-08-23,13136.0,14221.0,15250.0
2020-08-24,13189.0,14217.0,15388.0
2020-08-25,13214.0,14225.0,15388.0
2020-08-26,13217.0,14233.0,15388.0
2020-08-27,13231.0,14250.0,15400.0
2020-08-28,13225.0,14258.0,15400.0
2020-08-29,13225.0,14258.0,15400.0
2020-08-30,13225.0,14258.0,15400.0
2020-08-31,13242.0,14250.0,15425.0
2020-09-01,13253.0,14250.0,15425.0
2020-09-02,13247.0,14246.0,15425.0
2020-09-03,13281.0,14292.0,15425.0
2020-09-04,13281.0,14296.0,15425.0
2020-09-05,13281.0,14296.0,15425.0
2020-09-06,13281.0,14296.0,15425.0
2020-09-07,13356.0,14304.0,15412.0
