Tanggal,mean_wib,mean_wita,mean_wit
2020-01-01,12816.666666666666,14020.833333333334,15012.5
2020-02-01,13225.0,14262.5,15175.0
2020-03-01,13080.555555555555,14204.166666666666,17712.5
2020-04-01,13047.222222222223,14195.833333333334,15762.5
2020-05-01,13058.333333333334,14166.666666666666,15662.5
2020-06-01,12897.222222222223,14112.5,15712.5
2020-07-01,12808.333333333334,14120.833333333334,15537.5
2020-08-01,13022.222222222223,14183.333333333334,15250.0
2020-09-01,13252.777777777777,14250.0,15425.0
2020-10-01,13619.444444444445,14487.5,15437.5
2020-11-01,13713.888888888889,14691.666666666666,15400.0
2020-12-01,13861.111111111111,14779.166666666666,15312.5
2021-01-01,13955.555555555555,14779.166666666666,15625.0
2021-02-01,14000.0,14770.833333333334,15800.0
2021-03-01,14038.888888888889,14833.333333333334,15962.5
2021-04-01,14280.555555555555,14983.333333333334,16012.5
2021-05-01,14533.333333333334,15225.0,16150.0
2021-06-01,14841.666666666666,15445.833333333334,15887.5
2021-07-01,14808.333333333334,15620.833333333334,16637.5
2021-08-01,15225.0,15787.5,16725.0
2021-09-01,15619.444444444445,16033.333333333334,16700.0
2021-10-01,15847.222222222223,16333.333333333334,16775.0
2021-11-01,17363.88888888889,17441.666666666668,17325.0
2021-12-01,18736.11111111111,18945.833333333332,18950.0
2022-01-01,19422.222222222223,20291.666666666668,21612.5
2022-02-01,18922.222222222223,19691.666666666668,22037.5
2022-03-01,17255.555555555555,19079.166666666668,21512.5
2022-04-01,22313.88888888889,25258.333333333332,27375.0
2022-05-01,22436.11111111111,26045.833333333332,27987.5
2022-06-01,15241.47509578544,16277.298850574713,17464.655172413793
